Event Index,UTC Timestamp,UTC Date,Post Processed,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Question Key,Response
1,1511276475421,21/11/2017 15:01:15,,1511276493247,-5,21/11/2017 10:01:33,2349,3,questionnaire-erwe,,888975,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,BEGIN QUESTIONNAIRE,
2,1511276612457,21/11/2017 15:03:32,,1511276630294,-5,21/11/2017 10:03:50,2349,3,questionnaire-erwe,,888975,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-2-1,I learned English as my first language at home before age 2
3,1511276612660,21/11/2017 15:03:32,,1511276630298,-5,21/11/2017 10:03:50,2349,3,questionnaire-erwe,,888975,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-2-2,I have normal hearing
4,1511276612769,21/11/2017 15:03:32,,1511276630300,-5,21/11/2017 10:03:50,2349,3,questionnaire-erwe,,888975,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-2-3,I have never had a diagnosis of a communication disorder (dyslexia/language impairment)
5,1511276612785,21/11/2017 15:03:32,,1511276630302,-5,21/11/2017 10:03:50,2349,3,questionnaire-erwe,,888975,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-2-5,I am female
6,1511276612785,21/11/2017 15:03:32,,1511276630305,-5,21/11/2017 10:03:50,2349,3,questionnaire-erwe,,888975,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-7,1
7,1511276612566,21/11/2017 15:03:32,,1511276630308,-5,21/11/2017 10:03:50,2349,3,questionnaire-erwe,,888975,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-8,1
8,1511276612801,21/11/2017 15:03:32,,1511276630310,-5,21/11/2017 10:03:50,2349,3,questionnaire-erwe,,888975,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-9,1
9,1511276612691,21/11/2017 15:03:32,,1511276630312,-5,21/11/2017 10:03:50,2349,3,questionnaire-erwe,,888975,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-12,1
10,1511276612800,21/11/2017 15:03:32,,1511276630314,-5,21/11/2017 10:03:50,2349,3,questionnaire-erwe,,888975,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-10,1
11,1511276612801,21/11/2017 15:03:32,,1511276630315,-5,21/11/2017 10:03:50,2349,3,questionnaire-erwe,,888975,CMU_13,186949,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,END QUESTIONNAIRE,137068
1,1511280047091,21/11/2017 16:00:47,,1511280065445,-5,21/11/2017 11:01:05,2349,3,questionnaire-erwe,,889477,CMU-14,187103,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,BEGIN QUESTIONNAIRE,
2,1511280134370,21/11/2017 16:02:14,,1511280152725,-5,21/11/2017 11:02:32,2349,3,questionnaire-erwe,,889477,CMU-14,187103,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-2-1,I learned English as my first language at home before age 2
3,1511280134386,21/11/2017 16:02:14,,1511280152728,-5,21/11/2017 11:02:32,2349,3,questionnaire-erwe,,889477,CMU-14,187103,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-2-2,I have normal hearing
4,1511280134386,21/11/2017 16:02:14,,1511280152731,-5,21/11/2017 11:02:32,2349,3,questionnaire-erwe,,889477,CMU-14,187103,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-2-3,I have never had a diagnosis of a communication disorder (dyslexia/language impairment)
5,1511280134371,21/11/2017 16:02:14,,1511280152734,-5,21/11/2017 11:02:32,2349,3,questionnaire-erwe,,889477,CMU-14,187103,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-2-5,I am female
6,1511280134386,21/11/2017 16:02:14,,1511280152737,-5,21/11/2017 11:02:32,2349,3,questionnaire-erwe,,889477,CMU-14,187103,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-7,1
7,1511280134386,21/11/2017 16:02:14,,1511280152739,-5,21/11/2017 11:02:32,2349,3,questionnaire-erwe,,889477,CMU-14,187103,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-8,1
8,1511280134496,21/11/2017 16:02:14,,1511280152740,-5,21/11/2017 11:02:32,2349,3,questionnaire-erwe,,889477,CMU-14,187103,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-9,1
9,1511280134699,21/11/2017 16:02:14,,1511280152742,-5,21/11/2017 11:02:32,2349,3,questionnaire-erwe,,889477,CMU-14,187103,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-12,1
10,1511280134717,21/11/2017 16:02:14,,1511280152744,-5,21/11/2017 11:02:32,2349,3,questionnaire-erwe,,889477,CMU-14,187103,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-10,1
11,1511280134590,21/11/2017 16:02:14,,1511280152745,-5,21/11/2017 11:02:32,2349,3,questionnaire-erwe,,889477,CMU-14,187103,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,END QUESTIONNAIRE,87300
1,1511280615556,21/11/2017 16:10:15,,1511280765583,-5,21/11/2017 11:12:45,2349,3,questionnaire-erwe,,889522,cmu_15,187132,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,BEGIN QUESTIONNAIRE,
2,1511280680390,21/11/2017 16:11:20,,1511280830439,-5,21/11/2017 11:13:50,2349,3,questionnaire-erwe,,889522,cmu_15,187132,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-2-1,I learned English as my first language at home before age 2
3,1511280680390,21/11/2017 16:11:20,,1511280830442,-5,21/11/2017 11:13:50,2349,3,questionnaire-erwe,,889522,cmu_15,187132,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-2-2,I have normal hearing
4,1511280680406,21/11/2017 16:11:20,,1511280830445,-5,21/11/2017 11:13:50,2349,3,questionnaire-erwe,,889522,cmu_15,187132,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-2-3,I have never had a diagnosis of a communication disorder (dyslexia/language impairment)
5,1511280680390,21/11/2017 16:11:20,,1511280830448,-5,21/11/2017 11:13:50,2349,3,questionnaire-erwe,,889522,cmu_15,187132,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-2-4,I am male
6,1511280680390,21/11/2017 16:11:20,,1511280830451,-5,21/11/2017 11:13:50,2349,3,questionnaire-erwe,,889522,cmu_15,187132,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-7,1
7,1511280680374,21/11/2017 16:11:20,,1511280830453,-5,21/11/2017 11:13:50,2349,3,questionnaire-erwe,,889522,cmu_15,187132,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-8,1
8,1511280680531,21/11/2017 16:11:20,,1511280830455,-5,21/11/2017 11:13:50,2349,3,questionnaire-erwe,,889522,cmu_15,187132,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-9,1
9,1511280680500,21/11/2017 16:11:20,,1511280830456,-5,21/11/2017 11:13:50,2349,3,questionnaire-erwe,,889522,cmu_15,187132,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-12,1
10,1511280680499,21/11/2017 16:11:20,,1511280830459,-5,21/11/2017 11:13:50,2349,3,questionnaire-erwe,,889522,cmu_15,187132,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-10,1
11,1511280680515,21/11/2017 16:11:20,,1511280830461,-5,21/11/2017 11:13:50,2349,3,questionnaire-erwe,,889522,cmu_15,187132,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,END QUESTIONNAIRE,64878
1,1511370310405,22/11/2017 17:05:10,,1511370332127,-5,22/11/2017 12:05:32,2349,3,questionnaire-erwe,,893917,CMU_16,188563,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,BEGIN QUESTIONNAIRE,
2,1511370364601,22/11/2017 17:06:04,,1511370386320,-5,22/11/2017 12:06:26,2349,3,questionnaire-erwe,,893917,CMU_16,188563,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-2-2,I have normal hearing
3,1511370364602,22/11/2017 17:06:04,,1511370386323,-5,22/11/2017 12:06:26,2349,3,questionnaire-erwe,,893917,CMU_16,188563,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-2-3,I have never had a diagnosis of a communication disorder (dyslexia/language impairment)
4,1511370364601,22/11/2017 17:06:04,,1511370386325,-5,22/11/2017 12:06:26,2349,3,questionnaire-erwe,,893917,CMU_16,188563,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-2-5,I am female
5,1511370364602,22/11/2017 17:06:04,,1511370386329,-5,22/11/2017 12:06:26,2349,3,questionnaire-erwe,,893917,CMU_16,188563,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-7,1
6,1511370364617,22/11/2017 17:06:04,,1511370386331,-5,22/11/2017 12:06:26,2349,3,questionnaire-erwe,,893917,CMU_16,188563,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-8,1
7,1511370364633,22/11/2017 17:06:04,,1511370386334,-5,22/11/2017 12:06:26,2349,3,questionnaire-erwe,,893917,CMU_16,188563,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-9,1
8,1511370364914,22/11/2017 17:06:04,,1511370386336,-5,22/11/2017 12:06:26,2349,3,questionnaire-erwe,,893917,CMU_16,188563,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-12,1
9,1511370364929,22/11/2017 17:06:04,,1511370386337,-5,22/11/2017 12:06:26,2349,3,questionnaire-erwe,,893917,CMU_16,188563,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,response-10,1
10,1511370364804,22/11/2017 17:06:04,,1511370386339,-5,22/11/2017 12:06:26,2349,3,questionnaire-erwe,,893917,CMU_16,188563,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 57.0,1280x1024,1280x912,,CMU_consent,4,END QUESTIONNAIRE,54212
1,1511377428671,22/11/2017 19:03:48,,1511377579778,-5,22/11/2017 14:06:19,2349,3,questionnaire-erwe,,894474,CMU_17,188755,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,BEGIN QUESTIONNAIRE,
2,1511377523652,22/11/2017 19:05:23,,1511377674710,-5,22/11/2017 14:07:54,2349,3,questionnaire-erwe,,894474,CMU_17,188755,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-2-1,I learned English as my first language at home before age 2
3,1511377523682,22/11/2017 19:05:23,,1511377674713,-5,22/11/2017 14:07:54,2349,3,questionnaire-erwe,,894474,CMU_17,188755,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-2-2,I have normal hearing
4,1511377523652,22/11/2017 19:05:23,,1511377674715,-5,22/11/2017 14:07:54,2349,3,questionnaire-erwe,,894474,CMU_17,188755,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-2-3,I have never had a diagnosis of a communication disorder (dyslexia/language impairment)
5,1511377523652,22/11/2017 19:05:23,,1511377674719,-5,22/11/2017 14:07:54,2349,3,questionnaire-erwe,,894474,CMU_17,188755,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-2-4,I am male
6,1511377523682,22/11/2017 19:05:23,,1511377674722,-5,22/11/2017 14:07:54,2349,3,questionnaire-erwe,,894474,CMU_17,188755,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-7,1
7,1511377523650,22/11/2017 19:05:23,,1511377674723,-5,22/11/2017 14:07:54,2349,3,questionnaire-erwe,,894474,CMU_17,188755,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-8,1
8,1511377523822,22/11/2017 19:05:23,,1511377674725,-5,22/11/2017 14:07:54,2349,3,questionnaire-erwe,,894474,CMU_17,188755,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-9,1
9,1511377523840,22/11/2017 19:05:23,,1511377674727,-5,22/11/2017 14:07:54,2349,3,questionnaire-erwe,,894474,CMU_17,188755,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-12,1
10,1511377523838,22/11/2017 19:05:23,,1511377674730,-5,22/11/2017 14:07:54,2349,3,questionnaire-erwe,,894474,CMU_17,188755,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,response-10,1
11,1511377523840,22/11/2017 19:05:23,,1511377674731,-5,22/11/2017 14:07:54,2349,3,questionnaire-erwe,,894474,CMU_17,188755,,live,,,computer,Desktop or Laptop,Windows 7,Firefox 47.0,1280x1024,1280x913,,CMU_consent,4,END QUESTIONNAIRE,94953
END OF FILE
